Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB Type,Gender,Population,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
Kenya,Kenya,HIV prevalence,National,15,49,,,0.0630,,,Both,Community,,,2007,2007,"
2012 KEMRI (WRP Kericho) ?TB018 presentation"
South Africa,South Africa,HIV prevalence,National,15,100,,,0.3400,,,Female only,ANC screening,,,2009,2009,"
?TB018 presentation"
South Africa,South Africa,HIV prevalence,National,0,100,"15,794,600","52,300,000",0.3020,Numerator estimated from percent and denominator,,Both,Community,,"
  ",2012,2012,"
??JOSHA TB018 presentation"
South Africa,South Africa,HIV prevalence,National,0,100,"12,552,000","52,300,000",0.2400,Numerator estimated from percent and denominator,,Both,Community,,"
   ",2012,2012,"
Setshaba's TB018 presentation?"
Zambia,Zambia,HIV prevalence,National,15,49,"1,930,500","14,300,000",0.1350,,,Both,Community,,,2012,2012,"
TB018 presentation?"
Kenya,Kenya,HIV prevalence,District,0,100,,,0.2500,,,Both,TB patients (notified cases),,,2012,2012,"
NTM presentation?"
Papua New Guinea,Papua New Guinea,HIV prevalence,National,0,100,"65,889","7,321,000",0.0090,Numerator estimated from percent and denominator,,Both,Community,,"
   ",2013,2013,"
Walter & Eliza Hall Institute of Medical Research's AUSAID proposal?"
Papua New Guinea,Papua New Guinea,HIV prevalence,National,0,100,,,0.1200,,,Both,High-risk population (sex workers),,"
?Percent ranges from 12-17%",2013,2013,"
Walter & Eliza Hall Institute of Medical Research's AUSAID proposal?"
Viet Nam,Viet Nam,HIV prevalence,National,15,100,33,"9,331",0.0035,,,Both,HIV+ population,,,2015,2015,"
E-23 recurrence study (70 districts from 8 province?s: Hanoi Capital, Vinh Phuc, Da Nang, Bing Dinh, Ho Chi Minh City, Tien Giang, An Giang, Can Tho)"
South Africa,South Africa,HIV prevalence,National,0,14,"156,426","7,821,300",0.0200,,,Male only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,0,14,"171,241","8,562,050",0.0200,,,Male only,Community,,,2005,2005,"
??Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,0,14,"185,028","9,251,400",0.0200,,,Male only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,0,14,"198,076","6,602,533",0.0300,,,Male only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"207,724","6,924,133",0.0300,,,Male only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"217,378","7,245,933",0.0300,,,Male only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,HIV prevalence,National,0,14,"225,793","7,526,433",0.0300,,,Male only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"232,508","7,750,267",0.0300,,,Male only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"237,326","7,910,867",0.0300,,,Male only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,HIV prevalence,National,0,14,"155,688","7,784,400",0.0200,,,Female only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
