Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB_Type1,TB_Type2,TB_Type3,TB_Type4,Gender,Population1,Population2,Population3,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
Kenya (National),Kenya,HIV prevalence,National,15,49,,,0.063,,,,,,Both,Community,,,,,2007,2007,"
2012 KEMRI (WRP Kericho) TB018 presentation"
South Africa (National),South Africa,HIV prevalence,National,15,100,,,0.34,,,,,,Female only,ANC screening,,,,,2009,2009,"
TB018 presentation"
South Africa (National),South Africa,HIV prevalence,National,0,100,15794600,52300000,0.302,Numerator estimated from percent and denominator,,,,,Both,Community,,,,"
  ",2012,2012,"
JOSHA TB018 presentation"
South Africa (National),South Africa,HIV prevalence,National,0,100,12552000,52300000,0.24,Numerator estimated from percent and denominator,,,,,Both,Community,,,,"
   ",2012,2012,"
Setshaba's TB018 presentation"
Zambia (National),Zambia,HIV prevalence,National,15,49,1930500,14300000,0.135,,,,,,Both,Community,,,,,2012,2012,"
TB018 presentation"
Kenya (National),Kenya,HIV prevalence,District,0,100,,,0.25,,,,,,Both,TB patients (notified cases),,,,,2012,2012,"
NTM presentation"
Papua New Guinea (National),Papua New Guinea,HIV prevalence,National,0,100,65889,7321000,0.009,Numerator estimated from percent and denominator,,,,,Both,Community,,,,"
   ",2013,2013,"
Walter & Eliza Hall Institute of Medical Research's AUSAID proposal"
Papua New Guinea (National),Papua New Guinea,HIV prevalence,National,0,100,,,0.12,,,,,,Both,High-risk population (sex workers),,,,"
Percent ranges from 12-17%",2013,2013,"
Walter & Eliza Hall Institute of Medical Research's AUSAID proposal"
Viet Nam (National),Viet Nam,HIV prevalence,National,15,100,33,9331,0.0035,,,,,,Both,HIV+ population,,,,,2015,2015,"
E-23 recurrence study (70 districts from 8 provinces: Hanoi Capital, Vinh Phuc, Da Nang, Bing Dinh, Ho Chi Minh City, Tien Giang, An Giang, Can Tho)"
South Africa (National),South Africa,HIV prevalence,National,0,14,156426,7821300,0.02,,,,,,Male only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,0,14,171241,8562050,0.02,,,,,,Male only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,0,14,185028,9251400,0.02,,,,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,0,14,198076,6602533,0.03,,,,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,207724,6924133,0.03,,,,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,217378,7245933,0.03,,,,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,HIV prevalence,National,0,14,225793,7526433,0.03,,,,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,232508,7750267,0.03,,,,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,237326,7910867,0.03,,,,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,155688,7784400,0.02,,,,,,Female only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,170444,8522200,0.02,,,,,,Female only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,184182,9209100,0.02,,,,,,Female only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,197127,6570900,0.03,,,,,,Female only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,206756,6891866,0.03,,,,,,Female only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,216391,7213033,0.03,,,,,,Female only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,224794,7493133,0.03,,,,,,Female only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,HIV prevalence,National,0,14,231510,7717000,0.03,,,,,,Female only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
